im looking for a moderately priced restaurant that serves;inform 
does it serve sea food;confirm 
i want to find a restaurant in the center and it should serve corsica food;inform 
how about north american type of food;reqalts 
i need a restaurant in the west part of town that serves english food;inform 
how about one that serves british food;reqalts 
anything elses;reqalts 
um do not care;inform 
i dont care bye;inform 
um i would like to find an expensive restaurant in the south part of town;inform 
um can i get the address and phone number;request 
can you repeat the phone number and address please;request 
can you repeat the address please;request 
um im looking for a cheap restaurant;inform 
system irish food;inform 
im looking for a cheap restaurant in the south part of the town;inform 
im looking for a cheap restaurant that serves malaysian food;inform 
is there any that serve european food;inform 
im looking for a re;inform 
in the center of town;inform 
im looking for romanian food;inform 
uh yeah can i find a restaurant in the south part of town serving turkish food;affirm 
okay how about chinese food;reqalts 
uh chinese;inform 
okay and whats the price range;request 
okay and price range;request 
i want a restaurant that serves cantonese food;inform 
chinese restaurant in the south part of town;inform 
find restaurant in north part of town serving asian food;inform 
thanks bye bye;thankyou 
im looking for a restaurant in the south part of town it should serve jamaican food;inform 
do you have jamaican restaurant;inform 
steak;inform 
what is the address phone number and type of food;request 
welch food;inform 
i want an irish restaurant thats expensive;inform 
is there anyone else;reqalts 
i want to find a restaurant in the east part of town that serves basque food;inform 
id like a moderately priced restaurant in the north part of town;inform 
im looking for a restaurant that serves austrian food;inform 
can i have the address and postal code;request 
expensive restaurant that serves vegetarian food;inform 
thanks us;thankyou 
expensive restaurant asian food;inform 
moderately priced priced restaurant;inform 
serving mexican food;inform 
address and postcode;request 
i am looking for an expensive restaurant on the east part of town;inform 
any food that serves any restaurant thats expensive;inform 
i would like to find a moderately priced restaurant in the north part of town please;inform 
um what is the address and phone number;request 
what is the phone number please;request 
im looking for a moderate priced restaurant in the south part of town;inform 
the south part of;inform 
start again;restart 
expensive french;inform 
expensive french food;inform 
no something else;negate 
i want french food;inform 
